Id,IsActive,Name,RegionId,CreatedDate,LastModifiedDate
138,1,Poland,1,2022-02-22 04:04:52,2023-01-11 15:40:28
139,1,Portugal,1,2022-04-25 22:39:49,2022-07-30 01:58:05
140,1,Puerto Rico,3,2022-04-22 18:47:00,2022-12-25 03:13:23
141,0,Qatar,2,2021-07-07 02:30:04,2023-03-25 02:51:41
142,1,Romania,1,2021-09-10 03:13:11,2022-09-17 05:59:54
143,1,Russian Federation,1,2021-11-07 08:46:58,2022-11-03 15:33:17
144,1,Rwanda,4,2022-04-30 04:24:13,2023-01-06 16:18:38
145,0,Samoa,5,2021-09-16 12:19:42,2022-12-22 11:28:37
146,1,Saudi Arabia,2,2021-07-15 05:01:28,2023-02-28 18:35:35
147,0,Senegal,4,2021-10-24 19:24:08,2022-09-15 18:37:57
148,1,Serbia,1,2021-08-23 02:27:41,2022-09-24 19:03:29
149,0,Sierra Leone,4,2022-03-06 04:42:37,2023-04-22 09:18:16
150,0,Singapore,2,2022-01-15 04:53:12,2022-11-02 23:26:40
151,0,Slovakia,1,2021-06-21 10:13:36,2022-10-15 00:28:40
152,0,Slovenia,1,2022-05-07 19:08:41,2023-04-21 08:51:29
153,1,Solomon Islands,5,2021-11-19 03:10:19,2022-08-30 13:41:27
154,1,Somalia,4,2022-03-29 18:00:47,2022-12-08 18:27:54
155,1,South Africa,4,2021-08-04 05:48:06,2022-10-27 01:33:59
156,0,South Sudan,4,2021-09-28 14:53:49,2022-06-02 05:28:53
157,0,Spain,1,2021-06-29 12:21:06,2022-12-04 18:30:49
158,0,Sri Lanka,2,2021-11-01 10:28:53,2022-09-25 04:08:49
159,1,Sudan,4,2021-11-14 14:38:07,2023-04-24 05:24:24
160,0,Sweden,1,2022-02-21 05:01:25,2023-04-18 16:55:35
161,0,Switzerland,1,2021-12-04 06:59:02,2022-08-12 08:23:02
162,1,Syrian Arab Republic,2,2021-11-03 13:56:32,2023-01-31 07:51:46
163,1,Taiwan,2,2021-12-03 15:49:46,2022-08-01 07:46:57
164,0,Tajikistan,2,2021-09-18 06:26:17,2023-01-16 23:51:56
165,0,Tanzania,4,2021-10-22 13:07:40,2023-02-10 17:48:57
166,0,Thailand,2,2022-01-20 05:54:30,2022-10-13 20:06:23
167,0,Trinidad and Tobago,3,2021-08-20 01:35:38,2022-08-05 21:41:02
168,0,Tunisia,4,2021-12-19 13:04:01,2023-05-28 07:50:18
169,1,Turkey,2,2022-01-07 15:16:19,2022-11-25 22:06:02
170,1,Uganda,4,2022-04-09 04:41:28,2023-02-15 19:45:59
171,1,Ukraine,1,2021-12-02 06:52:54,2023-02-12 12:50:43
172,0,United Arab Emirates,2,2021-06-12 00:37:26,2023-04-08 11:44:21
173,0,United Kingdom,1,2022-04-06 00:36:09,2023-03-10 01:16:50
174,1,United States,3,2021-11-29 17:58:23,2023-02-12 20:53:49
175,1,Uruguay,3,2022-04-07 11:28:32,2022-07-11 13:18:57
176,1,Uzbekistan,2,2021-06-11 11:44:05,2022-10-21 15:56:07
177,1,Vanuatu,5,2022-04-05 10:04:49,2022-12-03 01:34:48
178,0,Viet Nam,2,2021-06-26 08:32:29,2023-05-23 01:10:40
179,0,Yemen,2,2021-07-25 09:57:36,2023-05-12 05:39:45
180,1,Zambia,4,2022-05-18 15:28:10,2023-05-14 23:54:11
181,0,Zimbabwe,4,2022-01-15 09:37:16,2022-10-08 03:04:11
