Id,CourseId,TrainerId,TrainerRoleId,CreatedDate,LastModifiedDate
31,5,30,3,2022-02-09 12:54:37,2023-04-03 22:48:46
32,5,32,2,2022-01-14 10:08:35,2022-12-28 05:15:40
33,11,38,2,2022-05-16 19:45:51,2023-05-30 23:58:03
34,9,98,1,2021-08-27 16:04:36,2022-11-18 05:00:04
35,4,32,2,2021-10-06 11:15:58,2022-06-26 18:08:54
36,9,81,3,2021-08-08 04:07:01,2023-04-28 20:56:01
37,10,54,1,2021-12-04 22:32:02,2022-11-23 04:49:47
38,2,4,2,2021-07-31 02:45:47,2022-07-03 15:46:21
39,11,95,1,2021-08-30 00:00:06,2022-09-25 15:17:28
40,1,92,1,2021-10-07 01:38:30,2022-06-05 20:30:24
41,4,50,3,2022-03-03 04:01:09,2023-03-22 04:23:25
42,6,70,3,2022-02-01 10:04:17,2022-09-08 00:30:48
43,8,80,3,2021-12-01 09:04:40,2022-11-19 11:41:25
44,4,62,2,2022-02-10 12:17:15,2023-01-07 08:06:15
45,11,37,3,2022-02-06 17:10:22,2022-09-20 12:37:12
46,1,39,2,2021-06-07 15:24:07,2023-03-31 02:20:42
47,6,29,2,2022-01-30 01:44:33,2023-03-27 14:26:58
48,1,89,3,2021-10-05 06:41:05,2022-09-08 07:24:36
49,6,25,2,2021-07-02 02:09:30,2022-12-17 04:53:29
50,4,1,1,2022-01-22 10:11:47,2022-07-19 20:55:31
51,6,37,2,2021-12-06 02:17:05,2023-04-15 01:34:51
52,9,39,1,2021-12-20 00:20:38,2022-07-18 03:24:22
53,9,27,1,2022-05-23 17:53:33,2023-05-18 02:43:51
54,12,39,3,2022-02-20 12:14:29,2022-09-01 22:36:33
55,4,40,1,2022-03-10 18:56:37,2022-07-02 05:09:09
56,1,91,2,2022-03-05 05:36:10,2022-06-18 15:12:09
57,11,29,2,2022-01-04 22:00:12,2023-03-02 17:14:35
58,9,49,3,2022-04-02 09:29:21,2022-11-12 02:48:29
59,10,71,2,2022-05-18 01:27:44,2022-06-01 06:37:43
60,3,66,1,2021-10-25 02:55:17,2022-07-28 23:08:21
61,4,35,2,2021-08-13 15:05:05,2022-10-31 20:08:57
62,12,53,2,2021-12-07 14:27:51,2023-03-05 18:46:28
63,2,82,2,2022-03-03 23:48:01,2022-07-06 04:22:47
64,3,44,2,2021-07-11 13:46:26,2022-10-22 18:42:28
65,6,100,1,2021-07-13 03:20:50,2023-01-25 05:40:57
66,12,94,2,2021-10-18 23:04:53,2022-08-03 05:19:38
67,12,63,3,2021-07-27 23:20:45,2023-05-30 20:25:06
68,1,27,1,2021-10-17 09:23:58,2023-05-05 23:44:37
69,7,35,3,2022-04-03 22:32:24,2023-04-30 10:14:29
70,2,97,1,2022-03-19 03:12:44,2023-01-22 22:52:10
71,1,90,1,2022-05-05 15:01:44,2023-03-24 23:10:27
72,6,4,3,2021-07-19 17:14:00,2023-02-12 22:16:42
73,10,59,3,2022-03-22 16:51:18,2022-06-10 11:57:33
74,8,51,3,2021-07-26 19:37:07,2022-06-11 13:53:30
75,6,43,1,2022-01-10 02:35:50,2023-01-21 16:41:28
76,11,9,1,2022-03-05 03:01:34,2022-11-03 20:21:39
77,2,14,1,2021-09-07 16:22:59,2022-11-29 22:45:50
78,8,91,3,2021-12-19 11:54:37,2022-11-23 03:43:18
79,11,93,2,2022-04-02 00:08:31,2022-08-07 10:08:55
80,5,98,2,2022-01-10 23:25:38,2022-08-02 09:27:00
81,11,60,2,2021-08-24 18:01:18,2022-10-29 08:21:05
82,1,31,2,2022-01-11 19:42:52,2022-06-28 17:33:01
83,3,88,3,2022-03-11 17:53:12,2022-09-30 09:52:18
84,3,49,2,2022-05-12 14:45:16,2022-06-21 03:38:53
85,2,76,3,2022-03-30 14:21:28,2022-07-12 02:43:52
86,7,78,1,2022-01-22 15:04:57,2022-11-11 05:29:53
87,8,53,1,2021-07-16 13:50:56,2022-06-29 09:37:02
88,10,6,3,2021-12-22 16:54:29,2022-08-06 06:57:33
89,12,44,2,2021-09-15 06:18:34,2022-10-20 23:49:04
90,1,32,2,2021-09-27 06:13:37,2022-07-08 16:51:38
91,5,36,2,2022-05-12 21:48:39,2022-08-24 14:10:33
92,10,99,2,2022-03-15 15:58:23,2023-03-29 06:47:19
93,3,35,3,2021-07-05 11:38:00,2022-09-17 07:00:04
94,1,46,3,2022-02-14 16:58:13,2023-03-26 18:51:52
95,12,96,3,2021-10-06 00:16:39,2022-07-24 05:22:59
96,10,48,2,2021-06-19 20:56:42,2023-01-02 11:04:39
97,8,1,1,2021-11-03 11:35:17,2022-06-23 02:55:46
98,11,75,2,2021-12-13 05:51:35,2022-12-03 05:29:51
99,1,72,1,2021-12-30 16:25:33,2023-05-23 12:45:08
100,5,95,1,2021-10-16 07:07:12,2022-07-10 07:08:28
101,6,69,2,2022-04-27 22:06:35,2023-05-13 23:23:58
102,1,82,3,2021-08-11 08:34:13,2022-10-30 17:47:21
103,2,32,2,2021-11-15 13:55:02,2022-12-26 21:18:57
104,8,64,3,2021-11-25 15:35:56,2023-03-14 10:05:22
105,3,93,1,2021-12-10 14:06:48,2023-01-27 07:02:50
106,12,62,2,2022-01-03 04:23:11,2023-01-04 04:43:20
107,3,92,1,2021-11-06 18:42:02,2022-08-08 03:38:02
108,7,91,1,2021-09-10 10:33:16,2022-09-09 12:38:54
109,2,39,1,2022-05-10 21:01:41,2022-07-17 05:16:48
110,12,90,2,2022-03-10 17:09:40,2022-07-28 14:35:06
111,1,85,2,2022-01-19 02:41:48,2023-03-26 22:04:22
112,8,94,2,2021-10-02 07:23:20,2022-11-02 13:51:31
113,1,73,3,2022-03-05 11:33:06,2023-01-31 18:11:03
114,10,25,1,2021-06-12 17:26:08,2022-06-29 17:34:52
115,1,77,2,2022-05-13 14:11:25,2022-11-05 20:18:52
116,7,42,2,2021-09-26 08:40:50,2023-04-10 20:30:06
117,1,68,3,2021-07-14 08:45:16,2022-09-20 01:36:59
118,5,42,2,2021-12-16 01:51:26,2023-01-17 21:03:21
119,6,56,1,2022-03-20 17:11:21,2023-03-12 16:19:56
120,12,85,2,2021-09-25 14:18:56,2022-06-23 18:14:30
121,7,70,1,2022-01-17 02:04:59,2022-07-31 22:16:22
122,8,33,1,2021-07-17 00:05:17,2022-06-29 19:41:24
123,9,66,2,2021-08-28 19:20:43,2023-05-29 19:37:08
124,6,53,1,2021-09-07 05:21:10,2023-05-01 22:49:17
125,9,72,1,2021-10-10 19:36:20,2023-02-19 20:36:09
126,8,62,2,2021-12-13 03:51:14,2023-03-14 07:31:31
127,12,97,1,2021-06-16 21:53:43,2023-04-01 16:34:03
128,7,76,1,2022-04-27 09:42:15,2023-03-14 00:30:04
129,12,65,3,2022-05-07 16:21:42,2023-03-05 15:49:48
130,3,64,2,2021-09-12 06:44:05,2023-04-01 01:41:57
131,12,6,1,2021-06-25 03:09:48,2022-08-04 14:09:12
132,10,70,1,2022-02-04 18:44:32,2023-05-15 03:08:21
133,1,71,3,2022-01-22 10:22:05,2023-05-26 04:54:13
134,7,58,2,2021-06-17 19:56:18,2022-08-15 05:34:27
135,9,42,1,2021-10-07 18:07:08,2023-04-04 08:28:31
136,1,63,1,2022-04-24 21:16:10,2023-01-14 17:00:30
137,5,20,2,2021-07-23 15:59:55,2023-01-02 18:01:37
138,10,28,3,2021-12-12 18:57:07,2023-03-25 22:00:09
139,9,67,3,2022-04-18 12:50:31,2022-12-10 13:13:19
140,9,73,2,2022-01-21 18:20:04,2023-03-21 02:45:50
141,11,19,1,2022-04-22 10:09:47,2023-02-16 19:37:49
142,6,88,3,2021-08-30 13:29:08,2023-04-16 20:40:07
143,4,53,1,2021-08-31 15:43:11,2022-10-16 15:00:53
144,10,98,3,2022-03-22 17:12:02,2022-06-05 05:03:00
145,5,46,2,2022-01-27 02:08:56,2022-07-10 08:43:34
146,3,27,3,2021-10-31 01:14:00,2023-02-04 02:05:31
147,1,23,2,2022-02-13 19:14:35,2022-10-06 19:28:14
148,9,74,1,2022-04-29 06:37:58,2022-08-08 02:10:08
149,9,19,1,2021-08-25 21:49:35,2023-05-02 19:20:20
150,4,100,3,2021-07-15 14:53:24,2023-05-07 17:15:29
151,12,47,2,2021-06-14 18:49:17,2022-11-07 16:05:46
152,5,24,3,2021-07-24 07:53:53,2022-07-22 12:37:12
153,7,58,2,2022-04-18 00:40:06,2022-09-25 12:21:08
154,8,80,3,2022-03-17 22:52:21,2022-10-31 10:36:34
155,3,74,3,2021-12-01 14:25:50,2022-08-04 21:16:02
156,6,41,1,2022-05-17 19:02:21,2023-01-07 10:26:22
157,9,51,1,2022-02-18 08:46:38,2023-01-17 05:45:47
158,7,39,3,2022-03-19 11:18:47,2023-01-18 17:10:53
159,12,44,3,2022-02-21 05:11:55,2022-12-09 10:09:29
160,12,15,3,2021-08-18 21:34:10,2022-12-08 13:24:33
161,3,79,3,2021-11-13 00:45:33,2022-09-25 16:26:16
162,5,34,3,2022-03-07 08:33:11,2023-03-02 07:51:28
163,1,61,2,2021-07-24 03:09:34,2023-02-25 19:14:24
164,8,38,2,2022-05-11 19:14:35,2023-03-20 02:10:28
165,5,94,2,2022-05-07 03:43:44,2022-10-14 05:54:59
166,2,58,2,2021-11-25 13:39:22,2022-09-05 21:42:27
167,8,68,1,2021-07-08 22:16:01,2022-10-25 16:01:12
168,3,17,2,2021-07-20 23:59:16,2023-05-10 23:30:41
169,9,49,2,2022-01-19 03:34:16,2022-06-09 09:54:18
170,12,77,1,2022-05-23 01:39:54,2022-12-02 21:28:47
171,4,52,1,2022-04-05 22:49:31,2022-07-28 14:07:02
172,9,71,3,2021-12-27 17:35:00,2023-05-09 02:57:31
173,9,42,3,2021-06-02 00:47:15,2022-09-17 02:30:23
174,7,56,3,2022-01-13 09:49:46,2023-01-21 16:02:08
175,9,93,3,2021-09-17 08:00:45,2022-12-22 19:08:55
176,10,7,1,2022-02-06 12:18:51,2023-01-02 06:03:59
177,4,20,1,2021-10-31 22:10:57,2022-12-05 10:44:04
178,9,42,1,2022-02-06 12:01:18,2022-10-13 20:30:00
179,9,58,3,2022-05-29 13:03:19,2022-09-15 01:58:57
180,7,82,2,2022-01-11 18:16:14,2022-06-04 23:18:36
181,12,50,1,2022-01-05 00:56:08,2023-03-24 03:42:30
182,8,57,3,2021-11-29 01:07:54,2023-02-07 10:52:06
183,8,38,2,2021-12-22 06:27:03,2022-11-19 17:17:34
184,4,16,3,2022-04-05 15:11:40,2023-03-09 16:47:58
185,8,17,2,2021-06-23 06:23:28,2023-02-21 02:42:00
186,9,51,2,2022-05-02 09:10:47,2023-01-29 23:10:50
187,3,87,3,2022-02-01 23:10:59,2022-11-28 09:47:02
188,2,72,1,2021-10-22 06:25:35,2022-07-04 12:09:00
189,11,22,3,2021-12-04 03:27:08,2022-06-06 04:15:35
190,11,29,2,2021-06-03 08:08:53,2023-01-21 12:53:41
191,6,49,1,2022-05-24 10:15:27,2022-10-09 23:45:51
192,8,15,1,2021-09-24 10:39:22,2022-10-20 10:53:28
193,7,91,1,2021-06-25 05:08:43,2023-02-26 00:17:08
194,2,42,2,2021-08-15 21:30:29,2022-10-27 18:12:02
195,4,63,1,2022-01-07 10:37:40,2023-04-14 17:51:46
196,11,72,3,2021-12-13 00:15:01,2023-02-27 14:07:18
197,3,32,3,2022-01-30 04:55:06,2023-04-06 03:27:56
198,2,73,1,2022-03-25 08:02:26,2023-04-29 00:14:35
199,12,10,1,2021-12-07 14:41:04,2022-06-14 15:24:53
200,1,67,2,2021-06-13 03:37:47,2022-11-12 17:21:36
201,12,70,1,2022-01-24 10:01:54,2023-05-27 08:40:36
202,3,100,1,2021-12-01 15:44:59,2023-01-28 21:01:27
203,12,31,3,2022-04-01 00:35:10,2023-01-20 20:39:40
204,1,46,2,2021-07-04 20:52:09,2023-01-28 21:55:49
205,4,84,2,2022-04-21 09:37:27,2022-11-14 06:45:47
206,4,74,2,2021-11-14 22:59:30,2022-07-22 11:24:59
207,1,67,3,2021-06-24 21:59:30,2023-04-25 05:46:10
208,3,68,3,2021-08-03 15:02:22,2023-02-27 05:47:26
209,12,34,1,2021-09-13 05:07:27,2022-07-15 23:39:16
210,12,28,3,2021-08-16 14:11:46,2023-05-06 05:30:05
211,6,59,3,2021-10-21 13:28:12,2022-11-17 09:38:01
212,7,84,1,2021-09-12 17:33:32,2022-12-13 18:05:19
213,10,46,1,2022-03-31 08:06:53,2023-05-09 02:20:45
214,12,96,1,2021-07-14 05:01:06,2022-06-29 07:53:51
215,12,4,3,2022-03-09 13:52:39,2022-10-20 11:53:49
216,5,88,3,2021-07-05 01:37:07,2023-04-01 02:08:50
217,2,37,3,2021-06-20 10:29:11,2023-01-03 13:19:06
218,1,31,3,2022-04-17 07:25:13,2023-03-08 23:29:23
219,11,7,2,2022-03-09 21:38:49,2023-02-25 23:27:28
220,12,2,1,2021-08-13 18:08:10,2022-12-19 06:03:32
221,6,64,1,2021-06-17 10:35:37,2023-04-05 21:55:00
222,12,99,3,2022-04-03 03:32:14,2022-11-08 06:43:08
223,8,3,1,2021-12-30 23:14:10,2023-01-21 07:54:32
224,3,43,3,2021-12-17 03:58:37,2022-06-24 06:59:19
225,5,39,3,2022-04-25 14:12:00,2022-12-18 05:50:12
226,7,25,3,2021-06-16 12:49:50,2022-06-24 01:52:05
227,9,23,2,2021-11-23 00:59:58,2023-05-20 21:08:00
228,12,21,2,2021-06-13 11:03:08,2022-08-03 23:53:05
229,4,17,3,2021-11-02 20:17:15,2023-04-14 05:20:29
230,3,34,2,2022-04-26 14:44:14,2023-01-13 06:51:14
231,2,30,1,2021-06-17 11:59:09,2023-02-17 00:28:57
232,12,53,1,2022-02-17 13:07:03,2023-01-18 17:16:56
233,7,52,2,2022-02-15 20:54:46,2022-07-24 05:37:59
234,4,13,2,2022-05-12 20:08:06,2022-10-21 16:28:48
235,8,96,1,2022-02-16 13:11:10,2023-01-30 16:06:47
236,6,28,2,2021-08-22 14:29:48,2022-10-22 02:47:05
237,5,17,2,2021-08-28 21:53:55,2023-03-17 17:46:12
238,6,68,2,2021-12-08 07:48:20,2022-06-12 18:07:38
239,5,95,3,2021-10-13 01:09:54,2022-12-31 08:37:29
240,1,44,3,2022-03-16 17:53:14,2022-11-25 02:21:43
241,10,35,1,2021-06-30 18:00:05,2023-01-18 19:37:44
242,3,27,2,2021-09-09 04:51:47,2022-08-20 01:04:41
243,4,33,2,2021-07-11 06:13:56,2022-12-09 20:20:58
244,5,99,3,2021-08-26 12:31:07,2022-11-29 13:41:00
245,6,62,2,2021-09-23 23:23:42,2022-08-02 13:09:26
246,12,77,1,2021-07-26 06:21:23,2022-09-24 02:56:37
247,9,71,2,2022-01-27 23:48:02,2022-11-15 08:01:30
248,10,69,1,2021-12-13 05:03:00,2022-11-10 23:02:31
249,4,80,3,2022-01-25 11:30:21,2022-12-17 10:12:04
250,2,37,3,2021-07-06 20:33:21,2022-06-29 03:45:59
251,10,26,3,2021-06-21 03:50:33,2023-01-14 04:27:54
252,4,1,1,2021-11-23 03:17:45,2023-04-06 19:16:45
253,6,95,3,2022-05-02 20:42:10,2022-07-24 01:08:38
254,4,22,2,2021-10-22 21:35:24,2022-07-21 14:16:29
255,6,63,3,2021-11-19 04:40:50,2022-11-07 02:42:55
256,1,57,2,2021-08-22 17:49:33,2022-09-24 01:17:58
257,8,36,1,2022-04-04 21:43:10,2022-12-23 01:09:14
258,12,85,1,2021-08-29 08:57:51,2023-01-29 14:23:00
259,12,75,3,2021-06-10 23:14:28,2022-07-19 06:51:45
260,6,16,1,2021-12-11 16:10:57,2023-01-24 22:35:41
261,10,40,3,2021-07-03 18:46:59,2022-12-11 08:27:03
262,4,82,3,2022-01-07 00:37:58,2022-11-11 08:12:05
263,7,80,2,2021-06-18 23:25:15,2022-08-25 21:01:54
264,9,71,1,2021-07-10 00:10:15,2023-04-07 21:40:39
265,12,51,2,2021-09-23 15:18:16,2023-03-10 17:39:42
266,7,90,2,2021-09-06 22:57:11,2022-07-05 14:59:16
267,3,74,2,2022-04-17 02:24:48,2023-04-30 03:58:40
268,4,59,2,2022-01-02 23:17:08,2023-03-04 00:07:15
269,4,54,3,2021-10-17 00:56:59,2022-08-30 17:23:27
270,12,9,1,2021-09-19 06:30:52,2023-03-21 12:35:41
271,7,53,1,2022-03-16 04:42:36,2022-07-12 13:25:38
272,5,35,3,2022-05-14 19:48:41,2022-08-05 08:45:15
273,7,50,3,2022-02-18 18:39:41,2022-08-18 14:12:17
274,5,56,2,2021-07-29 19:13:45,2022-12-10 11:27:11
275,7,31,2,2021-11-14 14:47:52,2023-03-07 23:56:16
276,9,27,1,2022-02-19 22:38:37,2022-09-13 19:48:34
277,3,69,3,2021-10-20 15:15:14,2022-09-20 02:19:36
278,6,50,2,2021-11-07 06:40:23,2023-04-27 20:00:51
279,6,15,1,2021-08-10 07:33:53,2022-06-29 22:12:53
280,11,72,3,2021-11-08 18:01:03,2022-06-16 13:34:46
281,1,24,2,2022-02-26 06:56:29,2022-12-09 07:03:45
282,9,42,2,2022-01-01 04:21:22,2023-03-11 03:27:08
283,4,10,1,2022-02-21 20:11:08,2022-08-25 01:19:31
284,5,45,3,2021-07-08 23:09:31,2023-01-05 01:16:22
285,7,97,2,2022-02-21 17:54:48,2023-02-14 23:30:29
286,11,38,1,2022-01-15 10:52:18,2023-02-17 10:08:11
287,4,50,3,2021-11-08 23:13:55,2023-04-19 10:21:31
288,6,90,2,2021-07-19 20:04:08,2023-02-18 19:23:45
289,2,49,1,2021-09-12 22:56:10,2022-06-06 21:47:52
290,6,10,2,2022-03-31 07:17:31,2022-06-25 23:23:37
291,4,48,2,2022-01-16 16:57:45,2023-01-12 20:38:05
292,12,54,3,2022-04-28 16:21:38,2023-02-25 07:04:28
293,8,98,2,2021-07-24 01:25:44,2022-08-25 07:55:06
294,4,38,3,2022-03-14 16:04:09,2022-11-23 15:14:06
295,9,73,2,2021-07-12 01:08:24,2023-05-04 10:17:50
296,5,14,1,2021-07-16 06:36:44,2022-11-22 19:26:28
297,6,85,2,2022-05-20 00:50:36,2022-11-03 05:02:58
298,1,22,1,2021-11-29 02:11:24,2023-01-18 02:59:32
299,4,70,3,2021-08-28 12:15:23,2022-11-29 09:15:15
300,2,65,2,2022-03-10 01:40:07,2023-05-02 23:32:52
