Id,Active,MaxCapacity,Name,OfficeId,CreatedDate,LastModifiedDate
55,1,152,London Office Room 24,1,2022-05-29 20:06:37,2022-12-24 16:01:58
56,1,117,New York City Office Room 24,5,2022-02-03 16:36:02,2022-06-07 08:05:18
57,0,31,Reston Office Room 28,6,2022-01-08 08:17:06,2022-12-15 18:43:35
58,0,199,Reston Office Room 17,6,2021-06-15 02:27:49,2023-05-10 06:11:32
59,0,180,Toronto Office Room 14,7,2021-10-06 06:24:37,2023-02-28 20:50:05
60,1,60,Hong Kong Office Room 13,9,2021-10-17 15:17:19,2022-12-20 19:34:02
61,1,30,New York City Office Room 28,5,2021-11-15 04:06:04,2022-09-12 10:55:41
62,0,161,Leeds Office Room 26,2,2021-10-22 00:33:44,2022-10-27 12:24:40
63,1,32,New York City Office Room 24,5,2021-12-14 21:50:08,2023-01-15 08:07:58
64,1,86,Shanghai Office Room 12,10,2022-03-10 14:36:54,2022-07-24 23:24:12
65,0,141,Singapore Office Room 30,11,2022-03-02 10:37:48,2023-02-20 03:20:41
66,1,99,Singapore Office Room 28,11,2021-07-08 14:20:19,2023-01-03 13:29:33
67,0,198,Hong Kong Office Room 16,9,2021-11-19 12:08:55,2022-12-11 01:10:15
68,1,125,Leeds Office Room 9,2,2022-01-05 17:39:37,2023-02-20 16:12:21
69,0,51,Leeds Office Room 18,2,2022-01-31 19:48:19,2023-05-27 09:04:14
70,0,140,Frankfurt Office Room 28,8,2022-05-25 13:48:03,2023-05-26 23:57:23
71,0,150,Shanghai Office Room 2,10,2021-07-09 07:22:47,2022-12-29 02:59:17
72,0,43,Shanghai Office Room 21,10,2021-09-23 09:37:25,2023-05-16 02:22:20
73,0,126,Brighton Office Room 12,4,2021-07-03 08:24:49,2022-12-26 23:23:49
74,0,35,Toronto Office Room 11,7,2021-10-15 17:46:20,2022-11-04 03:24:04
75,0,181,Frankfurt Office Room 11,8,2022-04-20 19:36:10,2023-02-06 02:26:29
76,0,75,Sydney Office Room 21,12,2022-02-19 21:49:15,2023-01-15 12:55:40
77,0,150,Glasgow Office Room 7,3,2021-11-18 11:40:29,2022-08-01 12:14:16
78,0,59,Sydney Office Room 7,12,2021-08-13 07:11:53,2023-05-19 20:20:18
79,0,53,London Office Room 9,1,2022-04-30 11:58:15,2023-02-16 17:17:10
80,1,87,Brighton Office Room 26,4,2022-03-18 11:02:39,2023-02-28 16:31:39
81,0,154,Reston Office Room 19,6,2022-05-08 19:11:33,2022-07-12 01:13:24
82,0,93,Shanghai Office Room 3,10,2021-06-16 03:12:25,2022-06-04 10:28:47
83,1,180,Singapore Office Room 4,11,2021-08-27 07:56:26,2022-09-01 18:29:01
84,0,21,New York City Office Room 28,5,2022-01-04 10:22:55,2022-11-06 03:53:27
85,1,83,Sydney Office Room 29,12,2021-06-02 05:46:24,2023-04-16 04:05:42
86,0,128,New York City Office Room 4,5,2021-08-23 01:21:43,2023-05-17 10:52:20
87,0,93,Toronto Office Room 27,7,2022-05-15 09:18:53,2022-11-15 03:36:43
88,0,96,New York City Office Room 24,5,2021-11-15 02:40:26,2022-11-11 02:32:13
89,0,73,New York City Office Room 26,5,2021-12-18 17:48:27,2022-08-18 06:31:43
90,0,187,Brighton Office Room 21,4,2022-01-14 11:29:51,2023-01-09 22:17:13
91,0,102,New York City Office Room 12,5,2021-07-02 14:38:13,2022-12-21 06:02:44
92,0,118,New York City Office Room 20,5,2022-03-20 13:50:23,2022-08-19 10:58:12
93,0,62,Hong Kong Office Room 17,9,2021-07-11 01:12:34,2023-01-04 09:27:51
94,0,52,New York City Office Room 25,5,2021-08-29 14:34:13,2023-01-25 18:27:52
95,1,182,Brighton Office Room 13,4,2022-01-14 14:31:14,2022-09-23 22:44:48
96,0,180,Singapore Office Room 28,11,2021-06-30 01:12:53,2023-04-28 19:14:51
97,1,89,Frankfurt Office Room 8,8,2021-07-09 16:39:55,2022-12-03 17:45:57
98,1,67,Reston Office Room 14,6,2022-04-19 22:28:54,2022-12-16 18:14:19
99,1,124,Reston Office Room 27,6,2021-12-29 15:45:59,2022-12-31 18:12:19
100,1,48,London Office Room 14,1,2022-05-21 17:32:03,2023-04-27 04:39:00
